10C 8C 9S 6S 3H 3S JD ,    Pair
4C 9S 10C 3C 8C 6H 3S ,    High Card
6S KH 2S 10S JS 4D QH ,    High Card
9D 6C JH KS 5C 5S 5H ,    Two Pair
4S 7S KH 9S 7H KD 8H ,    High Card
QS QD 3H AC 8C 8D JH ,    Two Pair
3D 10S AS AH 10C 2D 8S ,    Pair
QS 7S 3S AD 5C 10D 4H ,    High Card
KD 9C 7C 6D 3H 5H 8S ,    Straight
4S 6S 8D 3C 2D QC 2S ,    High Card
9S JS KC 8C 9D KH 9H ,    High Card
10H KS 5S JD 6C 6S 8C ,    Pair
7H 4C 7D QD 4H AC 10S ,    Pair
AD 9S KC 6H 3C 10C 9D ,    High Card
AS 10S 4D 9D QD 5S JS ,    High Card
8D 3D KC 5C JH 6H 8S ,    High Card
2D 8H AD 10H AC 4H JD ,    Pair
7S 3S 6D 5D 9C QC 2H ,    High Card
6C 3C 7D 2C 7C 8C 6D ,    High Card
9C KS QD 5D JH 4S 7H ,    High Card
JS 4C JC QH 5H 4D 10S ,    Pair
QS 4S 8S AD 3D AH 5H ,    High Card
10S 8D 3S JH 5D QH 8C ,    High Card
5C KS 4H 6S KH 6H 10D ,    High Card
7H QC 8H 6C 9D 7C 10C ,    High Card
2C JS 2S 3S 3D 5H 8D ,    Two Pair
JH 6S 9S 7C 10H 6D 7H ,    High Card
KH AS QD 9C 7D 4S 3H ,    High Card
QC 7C JC 10H 5D AS 4H ,    High Card
10D 5H 2C KS QS AD 7S ,    High Card
8S KC 2S 4S AC 9D 5S ,    High Card
3H 3S 7H 10S QD JS 9S ,    Pair
4S AS 6D 7S 5C KS JC ,    High Card
4H 2S JH 3S JD 9S 7C ,    High Card
10H 9H 8C 10D KC 3H 9C ,    High Card
3H 2H 5H 6S 10D 4H 7S ,    Straight
7C 3D QC 3S 2C 8C AD ,    High Card
8D 7H 9S 10C JS 7D AC ,    High Card
5C 9C KD QD JH 4C AH ,    High Card
AD QD JC JD 5D KS QC ,    Pair
9C 4H 10D 6H 6S 8D 5C ,    Pair
KD 2C 2S 6D 4C 8C 2H ,    Pair
5H AD KH 6H QD 7H 4H ,    High Card
AS JC QC QD 9D 3H 10D ,    Pair
9H AC 10C 2D 2S 7C KS ,    Pair
QH JH 8C 6S AD KH 5S ,    High Card
2C 8D 5D 7H 4C 2H 3C ,    High Card
AS 5S QD 3C 2D 3H 4S ,    High Card
JD AD 8S 10C 6H KD 6D ,    High Card
9C 5D 9D 10H 8C 4D QS ,    Pair
4C 8H 3C 9C QS 8S 5H ,    High Card
8D KH 8C JD 6H AS 7H ,    Pair
2H 10D 5C KD JH 9D 4S ,    High Card
AD QC 3S JS 2C KC QH ,    High Card
4S 6D QC 6H QS 9D 8H ,    High Card
9C AC JH JS 8C AH 4H ,    Pair
QH JD KH QD 3S 2D 10H ,    High Card
2H QH 2S 3H 4C 10D JS ,    Pair
KC 7H KH 3D AC 2C KS ,    Pair
JD 10S 5D QD 4D 7C 4S ,    High Card
4H 8D KD 9H 10H AH 9D ,    High Card
2H 2C 4H 9C JC JH AC ,    Two Pair
8S 4C QS 5D 6C 4S 10S ,    High Card
KH 8C 6H KC 3C QC 7H ,    High Card
QS 5D 7S 9C JH 3S 2D ,    High Card
6H KH JD AD AS 5C 10C ,    Pair
10S 7H 8D 3C 9S KC 3H ,    High Card
4C QC AC 6S 2H 8S 7D ,    High Card
10C 9H 10H KS KH KD AH ,    Pair
7H 3S 2H 7D 10D 3H QH ,    High Card
6C 4H 8C 8H 8S JH JC ,    Two Pair
8H 3D KC 9D 7S 5C 7C ,    High Card
5H 6H 3S JH 10H AS QC ,    High Card
8S 8D 2H 4D 4S 8C JD ,    Two Pair
KS 10C 2S 6S JS 9C KH ,    High Card
6D 7S 8S 10D QS 2H 10C ,    High Card
5D KH 9H 2C 4C 7H 2D ,    High Card
7D 5H 4H 4D 10H AS 9S ,    Pair
6H 2D 3D KD 2S 4S 8D ,    High Card
JD 10S 4C 7H QC 5C 5H ,    High Card
8S 3C KH 9D 10H AC 2C ,    High Card
4H KC 9C AS KS 7D 6S ,    High Card
6H 2C 4H KC 5S 10H 2H ,    High Card
10S 3H KH 9C 5D AC 9S ,    High Card
7D 6S KD AS 7S 3S QD ,    High Card
5D 5H 7D 9C AC 9S KD ,    Pair
8C 2D 8D 2C JS 3C 10D ,    Pair
JD AH 6H 10S QD AD 10C ,    High Card
JC AS 5S 4S 7C KH 9D ,    High Card
JD 3C 6S 8C 6C 9D 2H ,    High Card
3D 2S 4H 10C 8H 3H 7H ,    High Card
QH 8D 9C 7S 2C KH 8S ,    High Card
QS KD 8D 8C 3D 9H 6D ,    Pair
4H 7D 3C 6C 9D 5S 10S ,    Straight
JH 6H JD KD QS 5D 4S ,    Pair
AS 10D AC 9S AD 8H 10C ,    Pair
2H 6S 9C 5C 2D 2C AH ,    Pair
4C 7H 3H QD 9C KC 2D ,    High Card
7D 6D QC 5C 10D 5H 10S ,    Pair
JS 3D 2S 5S 7C 8C 9H ,    High Card
6H 6S 5D 8S 9H QH 3C ,    Pair
4D KS 10C 4S KD 9S 2D ,    Pair
2H AD 7S 8D AS 4H 5C ,    High Card
3S 2C KH QC 6D JH JD ,    High Card
9S AS 9H 10C 6H 3S QH ,    Pair
KH 2D JD 2S 7D 7H JH ,    Pair
6C 2H 9D 10H AC 4C 6D ,    High Card
6S 7H 6C 2D JD 5H 10D ,    Pair
5D 10C 6D 9H 3D 3H QD ,    Pair
4H 8H 3S AS KS KD 8D ,    Pair
4D AH 4S 9S 10H QC JH ,    Pair
8S 3D 9D 10C 7C QC 5S ,    High Card
AS KD 6D 9S 7H 10S 4C ,    High Card
AC AH JS 9H 6H KS QH ,    Pair
8D 8H QH 2C 10D QS 7S ,    Pair
6C 6D 10S 4C 5C 4S JS ,    Pair
2H 8S KS 7C AC JC KD ,    High Card
AS AH 6S 10C 10H 8C 6H ,    Pair
3D QS 2H QC AH 10S JH ,    High Card
AC 4S KC 10H 8D 3H 4D ,    High Card
7H AD 6H 8S KS 9C 5S ,    High Card
6S 6C KH 10D 9C 3S 5S ,    Pair
6H 9D 9H QS 4D 4S 8C ,    Two Pair
9S 2S 2H 3D 2D JS 10C ,    Pair
AC 5D AS KC 4C JC 8S ,    Pair
QH 2S 4C JH 5H JS 7D ,    High Card
KH 6S AS 4D 5D QS 5S ,    High Card
3S 8S JC 2H KD 10C 7S ,    High Card
QD 7C 10C 8H KH AS 5D ,    High Card
4C 4D 7D 3C QC JH 2D ,    Pair
7S 2C 2H JS 10S 9C 6H ,    Pair
10H QH 2S AH 5H 3S 10D ,    High Card
5H AS QC KS 2C 3H JS ,    High Card
4H 6H 7S 4D 4S 10D KD ,    Pair
QD 6S 2S 9H 9D AC JH ,    Pair
2H 5H KS QH 2C 9C KC ,    High Card
9H AS 4D 8H 6D JD AH ,    High Card
8S 10S KH KD 10C AC 4S ,    Pair
4H JS 8D 3S 7S 8C AD ,    High Card
9S 8C 4C 6S 9D 2S 10S ,    High Card
5C KD 7S JS AH 8S 9C ,    High Card
10C 5H 3H 10D 5D 4H KH ,    High Card
6S 7S QS 6C 9S 6D 10C ,    High Card
JC 6H 2H 3H 7D 10S KC ,    High Card
9H 10D 2S 7H 5D 10C 3C ,    High Card
3D KD 5H 2C AD KS 5C ,    High Card
QD JS JH AH 9S AS 4S ,    Pair
2H AC 6H JD 3S 5H 9C ,    High Card
6D KD JS 10C 7S JC AD ,    High Card
9H 8H 9D 9S 10D QH 8D ,    Pair
6S KS 8D 10D 3H 2S 5H ,    High Card
6H 7H KH 9H 9C 9D 9S ,    Flush
4S QS QD 4H 7S 4D 8H ,    Pair
5C QH 2C 3C 6D JS JH ,    High Card
5D 9C 3C 9D 7S 4D 10C ,    High Card
4C 3S JH 10S 6C KH 8H ,    High Card
3H KC 10D AC 2H 2S 8C ,    Pair
JS 2S 6S QS 2H QH 8H ,    Flush
3D 9S 8D 10S 7C 4S AC ,    High Card
JC AH KC 4H JD KH KD ,    High Card
6H 3C 7H QC 3H 8S 9H ,    High Card
4S JS JC 10S 4D QS JD ,    Pair
6C 6H AD 3S AC 7S 5S ,    Pair
KC 3D QD KD 10C 3C 2S ,    High Card
KS 6C 8H KH 3D 8S AD ,    High Card
8D AH 9D 2D 8C AC JD ,    High Card
7H 9C 10S 4D 7C 9H 3H ,    High Card
5S JH 6D 10D AS 4S 2C ,    High Card
3H 4S 9H KC 5C AS 4D ,    High Card
2C 10S 6H 9D QH 7C 3C ,    High Card
AH 10D QS JC 2S 7D 3S ,    High Card
7S 9D 5D AH 6D 4S KC ,    High Card
7D KD 8C 9H 5H 2C QC ,    High Card
JS KH 7H 5S QD 4H 6H ,    High Card
6C 10C 2S QH 7C 3D 9C ,    High Card
9S JD 9D QH 7D KH 5S ,    Pair
AS 8C QD 4H 9H 6S 2D ,    High Card
9C QC JH 8H 4S JS 4C ,    High Card
6D JD QS 8H 7S 5D QC ,    High Card
3D 5C 10D 8C 7C 10H 2D ,    High Card
KS 2C 6H AS 10C AH QD ,    Pair
4C 9D 5H 3S 2S KD 2H ,    High Card
2D JC 10D QH 8D 5S AC ,    High Card
QD QC 9C 6S AD 10S 9D ,    Pair
5H 6C 4H JD 7D 7C 7S ,    Two Pair
2C JC 8D 7C QC 6H QD ,    High Card
6D KS AH KC 9H 2S 8H ,    High Card
5H AD 4D 5S 10D 8C QH ,    High Card
3D 10S 9C 6S 4C 4H 7D ,    Pair
4S 3C 8H QC 6H 9D 5S ,    High Card
4D 9S JC 2D AC 5H 7H ,    High Card
8S 9H 10C JD 2S 3D 5C ,    High Card
5H 6D 10H QS 9S 3D KC ,    High Card
9S 10D 8H QH KD 7C 7S ,    High Card
7H 2S AS 8S AC 5D KH ,    High Card
KC 6D 6C 3H 6S 4S JC ,    Pair
QD 3C AH 8D 8C 5H 10C ,    Pair
AS 3S QC 8D 2H 10D 6D ,    High Card
8C 7S 4S QH 3C KD QS ,    High Card
9C 4D AH 2C 8H AC 4C ,    High Card
9C 3C 8H JS AC AS 2H ,    Pair
8D AH 3S 9D AD 4D 4H ,    High Card
QH 4C 7D 5C 7S 5S KH ,    High Card
10C JD 2D 10S QC QD 5D ,    Pair
AS 8H 5H 7H AC 7C 6D ,    High Card
9D QC 10H 7S 4S JS QH ,    High Card
5C 4D 4C KS 3H 2C 10S ,    Pair
5S 10H AH 10C QS 8C AD ,    High Card
JH 2H AC KH 9H KS 9S ,    High Card
9C 3D 4H QD 8H JD 3S ,    High Card
4C AS 7C 10D JS 8S 7H ,    High Card
3D AD 4D 8D 5C JH 5H ,    Flush
9S 2H 2S JS 10S AC KH ,    Pair
QD JC 3S 9H 7D 8C AS ,    High Card
AC 9S 2C QH 2S AH KD ,    High Card
6H AS 7H 8C 2H 5H 3S ,    High Card
KS 10H 4S JH 10S 8S JD ,    High Card
5C 8H 2D 8D JS 4H 3D ,    High Card
4S 10D 6H 3D 9H JD 5D ,    High Card
7C QH 9C KH 5H 2D QC ,    High Card
QD 6D 2S 7D 8S 5C 3S ,    High Card
9H 5D 8S 6D KS AD 5C ,    High Card
4H QS 9D 7S 6C 2D 2C ,    High Card
8D KD QC 10H JC 6H AH ,    High Card
3H 5H 10C 4C 6S 2H KC ,    Straight
5S 6C 3H 6H 8S QC 5H ,    High Card
9C 2H 3S 6S 4C 10D 4S ,    Pair
AC QH 2S KD 2D 10C 9H ,    High Card
3S JD 4S 5H 9H JS 4H ,    High Card
10S 5D 4C JC QS 7C 9D ,    High Card
AH QC 6H 3H 5S 6D QH ,    High Card
AS AC 4D 9C KD KH 2D ,    Two Pair
9C KS 6D 4H 6S 8S 6H ,    High Card
4C JS 7C 6C KH 10S 9S ,    High Card
3C 7H AH 5C AC QS 2C ,    High Card
9C 3D 10D JC QD KD 6C ,    High Card
9S 2D 2S 8D 5C 7C AD ,    Pair
AH JD JS 2C 6S 7H 4H ,    Pair
9D 4C QC 3C QS 5H 8C ,    High Card
KS 9H 7D 8H 2C JH AH ,    High Card
7S QS AD 10C QC 3C KH ,    High Card
2S 8C JC AS 4H 8D KC ,    High Card
4C 9S KS JH 3S 2C 2H ,    High Card
3D 7H AC 8C KD 5D AD ,    High Card
7D KH KC QS 2D 9H AS ,    Pair
2S KS 9D 8S 5H 4D 10S ,    High Card
4H 5S 7C 3S 7S JS 10H ,    High Card
7H 9D 10S 10C 3D 5H 2S ,    High Card
2H 8H 10D 6C 3C KC 3H ,    High Card
4D QH 7C 6D 6H 7D 9S ,    Pair
8D 3C AH 9C 2H JC 6S ,    High Card
7D 7S 2D 7H QH 4D QS ,    Pair
4S AS KS 10S KD QC 3H ,    Pair
2S 9S 5H 5S 4C 3D 6D ,    Straight
3H QC 10C 9D 9S 4C AD ,    Pair
JS 3D 4S 6C 7D 3C 5S ,    Straight
2H 2C 2S AC 3S KS 10H ,    Three Kind
4C 5S AD 8C JH JD QH ,    Pair
4S 9H 6D 4H 9S 3S 5D ,    High Card
KC JC QC 6C 3H AC 7D ,    Flush
8H 7C 6S KD 5H 2S 10D ,    High Card
QC KH KC 10H QD 6D 9H ,    Pair
3C 2H QS 4H KD AC AD ,    High Card
10S 8S 7D 10C 5D JC 5C ,    High Card
AS AH 4H 2D 10H 7S KC ,    Pair
JC 5S 8C 3H 7H QC 8D ,    High Card
9H 8H 6H 5C 6C 10C 4D ,    High Card
2S 4C 3D 5H 10D 4S 9S ,    High Card
6D 9S KS QS 4D 8H 2C ,    High Card
KD 5D 10C 3D 3H QC 9C ,    Pair
5S 9D QD 2H JC 3C JH ,    High Card
8S 5S JC 10C 6D 5H 9H ,    High Card
2D 3H QH 2S 7D JH QC ,    High Card
5C 8D 5D JD KC 10H 2C ,    Pair
KH 7S 9S 4H 6C QS AC ,    High Card
JH JD 5C 4D QD KS 3C ,    Pair
QH AC 3S 4S 8H 2S KH ,    High Card
10C 9C 6C JS 8D 5H 2D ,    High Card
10S 8H JS 8D 3S 10H 9C ,    High Card
2H QD 5S 9H JD 5D 4D ,    High Card
4C AH KH 7H 6S 10D 5H ,    High Card
AS AC 3H 2C 6D 3D 4S ,    Pair
JS 9H JD KC 7C 8D QD ,    Pair
2S 5H 5C 10H 6H AS 2D ,    Pair
8C KS 7H 7S KH 5D QS ,    Pair
9S 2D 6D 9D 8C 10C 4D ,    High Card
8S 7D 4C 7S 6C 2H AD ,    High Card
KS QH QD 10S 5H 6H JS ,    Pair
3D 10H KH 2S 3C 3S KD ,    Pair
KS 7D KH KD 5S 8S 2S ,    Pair
9H JS 9S 6H QD 4H JC ,    Pair
2C 4S 3D 10S QH 4D 8D ,    High Card
5D 5H 10H 7S AC JH AD ,    Pair
AH 5C 6D 3C 8C JD 9H ,    High Card
QS 5D 7H AS 2S 9S 3D ,    High Card
5H 8H 3S AC 2C JS KH ,    High Card
6H 10D 10H 4S 4H 6S JH ,    Pair
7S QS 3S 6D QH JD 2C ,    High Card
7C 8S 2H 6C 6H 4D 10C ,    Pair
10S 4C 5H 8H 9D 7D 9S ,    High Card
9D KH 2S 8S 2C 5D QC ,    High Card
7H 4D AS 5H 8D 6D 4H ,    Straight
4S 10C JD KD 3D 3H QH ,    Pair
10H QS 10S AC 6C 7C 9C ,    High Card
AH 6D 3S 2H 10C 7H QC ,    High Card
9D KD JD 7C 8S 10H AD ,    High Card
KS 9H 6S AS 3H 3D 5D ,    Pair
KC KD 4S AS 7D 6C 5S ,    Pair
KS 5D 6H 2D AC QD 8C ,    High Card
8H 5H 3C 2H 6S 7C 9D ,    High Card
JC 4D QH 6D 3H AH KH ,    High Card
3D KH 5D KD QS 10D JD ,    High Card
4S KS 8S 8C 7D AS JC ,    Pair
AC 5S 3C 10C 6D 7S JS ,    High Card
QS 9S 4D 6H 3D 7H 8H ,    High Card
KD AS QC 2S 6C 7C 10D ,    High Card
4S 7S KH JD 6D 4C 5H ,    High Card
2H QD 5D 5S 10S 4H JH ,    Pair
9H QD 5C 5D 10C AS KD ,    Pair
8S AH 5H 6S KH 8C 7S ,    High Card
QC KC JD 6C 9S QH 3H ,    High Card
3H 9C QS KD 3S JH 5D ,    High Card
5S 8S AH 6D JC 2S 6C ,    High Card
5C QC QD 7S KH KC 6H ,    Two Pair
10S 8H 2C 7C 3C 10H 5H ,    High Card
7H JC 3S 8H 2D 7S KS ,    High Card
2S AC 4S 6S 6D JD KC ,    Pair
QD AD JH 8C QS 3H 10S ,    High Card
9S 6S 9H 10C 10D 3C KD ,    Pair
10H AS 2H JH KH 6H QC ,    High Card
AD 9C 7C 7S 5C 8D 7D ,    Pair
KC 9D KS QH 5H 2S 4D ,    Pair
6H 7D 9H KC AD 2C KS ,    High Card
JC 5D 4D AH KD JS 4C ,    High Card
AC 4S 10S 10C 8S 10D 5S ,    High Card
3C AS KS 2H AH AD 5S ,    Pair
6S 8D 10C JD 10H 6H 5H ,    High Card
4S KC 7S JS 3H 7C KH ,    High Card
5D 2C 9H 10S QS 8S 4H ,    High Card
7H 8D 5D 9D 9S 2C 7D ,    Pair
6D 2S QH AD 3S QS 6S ,    High Card
JD 4C 8C 10H 3H KD 4D ,    High Card
QH JD 8S 10D 7C 8C 9H ,    High Card
AS 4C 9S 7C 10D 6H 5D ,    High Card
7S 6C AD JC 8C AH 4S ,    High Card
QD 8S 2H 3H 5C 6D 5S ,    High Card
2C 7D 9C KH 5H JH KD ,    High Card
5D 7S KC 6C KH 8H 4H ,    Straight
AS 4D 4C 9D 6S AD 8C ,    Pair
2H 7C 9C JC 7H 5C 10S ,    High Card
6H KC 3C 8S 3H JH 6S ,    High Card
2C 8H 9S 7H JD 4D 3D ,    High Card
2D 6D 5S 3S JS 7S AS ,    High Card
AD 7D 2H 8C QC 4S KH ,    High Card
AS KC QC 3D 7D 7H 8H ,    Pair
2D AH 8C 4H 10H 6H 5S ,    High Card
6S QS KS KD 2S KH 10D ,    Pair
7C QH KH 6S 8H 4S KC ,    High Card
3D 8D 2C AD 9S QS 10H ,    High Card
3S 10D 9H AS JS JC 3C ,    Pair
6C 6D 7S 4H 7D 8S 2H ,    Pair
4S 10C KS 9D 4D 2H 6D ,    High Card
7C QH 3H JD 8D 3D KD ,    High Card
10H QD 3C AS 8H 8C 6S ,    Pair
AC 2C 4C JS 4H 9H 7C ,    High Card
8S 2S 7D 10C 2H KS QD ,    High Card
AD 5H 4S 7H 2D 10H 5D ,    High Card
QH KH 3S QC 9D 6D AS ,    High Card
4C 6S QD 10S AH 5H 2H ,    High Card
8D 9D KS 7H 5C JC JS ,    High Card
3C 10H 2S QS JH 10D KH ,    High Card
10D 6H AH 6D AD 6S 2C ,    High Card
JH 7S 4D KD JC 10C 7D ,    High Card
9C JD JS 3D 10H AS QS ,    Pair
KH 5D AC KC 4C 3S KS ,    High Card
5S 6C 2D KH QH QC 8H ,    Pair
JH 7D JC 8C 5C 2S 9C ,    Pair
10D 6D 7S AC 9S 6H 3D ,    High Card
JS 6S 8S 9C QS JD 8D ,    High Card
10H 8C KC QD 8H 2S QC ,    High Card
10S KH KS AS 7D 4S 10D ,    Pair
4H 9D 6C 7S 5H KD 9H ,    High Card
7D 5C 2D 6S 9H AH 9C ,    High Card
JH 7S QC AC 8H 2H 10H ,    High Card
7C 4D 8D 6D 3D 10S JC ,    High Card
4S 10S KH 5D 9C JC 10H ,    High Card
7S 4C QD JD JS 6H 8C ,    Pair
10D 3C AS AC 7D 8S 6D ,    Pair
2S QH JH 5C 9H 8H AH ,    High Card
9H 10H 10D 8C QS 7H 3D ,    High Card
6S 4S 7D 2H QH 3C 7S ,    High Card
JS 9D 5H 8H JD 7C 2S ,    High Card
8S AD 6D 8H 7D 3S QD ,    High Card
10D QD 2C 10S 6C 5C QC ,    High Card
JD 6H 4D 6D 2D 8C 9H ,    High Card
3C 10H AS 9S 10C 2H 9C ,    High Card
4S 8H 8S 7C AC 4H 3S ,    Pair
4C 2H 5H AS 7H 8C JH ,    High Card
6C 10C 2D 6S 9H QH 10H ,    High Card
3S AD 3H 4S 4D 4H 8H ,    Two Pair
6C 8S 6D QD 10S 8C KS ,    Pair
2S QH 3H 7C 2D 7D 4C ,    High Card
4H QS 9S AH 7S 3S AC ,    High Card
9C 6H JD 3C KC 2C 5H ,    High Card
4D QC KS 2D QH 2H 6D ,    High Card
3C JS AS 3S JD KC QD ,    High Card
9H AD 7S 10C 6S 5S 8C ,    Straight
5D 10H KD 7C JH 5S 5C ,    High Card
7H AS 5H 2H KC 2S 6S ,    High Card
10S 6D 3S 4C 9C 10D QH ,    High Card
3C 8H 4S 2C 6C 8S KH ,    High Card
3C 2H 6H 8C 7H 10S AD ,    High Card
9D AH 2S KH 2D 6C 5D ,    High Card
JD 9S KC AC 2C JC 4D ,    High Card
10D JH 6H 10C 10S 4D 6D ,    High Card
QC 5H 4S 4C 8S 5D 8D ,    Pair
2H AS 9S 2D 3S 7S 8C ,    High Card
AH 6S 8H 7H 7C 3D 5C ,    Pair
4C AD 7S 5H 10H 4D 7H ,    High Card
9C 6C JS QC 2D 8S 10S ,    High Card
6D 6H AS 2S KC KH 2H ,    Two Pair
5C 10S 5D JS 5S 4S 10H ,    Pair
4C 9D 8S 2S 2D KC 9S ,    Pair
AC AD QC 7H QS 6H KH ,    Pair
QH JD 9C KS 3S 4D 7C ,    High Card
2H 8C QS 5H QH JD JC ,    High Card
4H 5C 10S 4S 10H QC 6S ,    Pair
AH 5S 3C KH 4D 3S QD ,    High Card
8S JH QH 2D 2S 5S 9H ,    Pair
6D JC QD JS 4H 7D AD ,    High Card
AH 2H 9S 7H 3D 7S 3S ,    High Card
JD QC 3C 3H 10D 4D 4S ,    Two Pair
4H JC 5S 6H 4S AS 4D ,    High Card
5H 8H QC JH AC 10D 5C ,    High Card
3C 3S 2D 9H JD 7C 9C ,    Pair
QC 5H JS 3D 7C 6S 10H ,    High Card
3H 9S 9C 10S 2S 9H KC ,    Pair
QS AD 8D 5D 3C JH 6D ,    High Card
4C 2H AC KD 8H AH 7D ,    High Card
10S 5S KH 2H AS AH AD ,    Two Pair
7C 4H AC 2D QC 8C 5D ,    High Card
QS JC 6D 3C 9C 8H 9D ,    High Card
7D 2H 10H JH KS 9S 5H ,    High Card
3S QC JS 6S 3D 5H 10C ,    High Card
4S AD 9C 5D 4H 8S 8D ,    High Card
4C 3H 2C 7D QS 8H AC ,    High Card
QD 3C 10H KH 6H 2S 9S ,    High Card
4C 2C 9D 9H KH JS 10S ,    Pair
3C 2D 4H 10C 6D QC 7C ,    High Card
AC 6S KD 9C 7D 4S 7H ,    High Card
9C 9H 4C 2H 6H 7H 10H ,    Pair
4D 8S 7D 6C 8D 7C 2D ,    High Card
AH KD 9S 4H 6D 3S 3H ,    High Card
10D 2C AC 2S 5D JS 10S ,    High Card
5D 6C QD 3D 4H JD 9D ,    High Card
JC 2S AD 10S KD 7S 8S ,    High Card
10H 3H 6H 4S 9S 5C AH ,    High Card
6C 10C QC 10H 4D 6D 10S ,    High Card
QD KS 8D 4H 9D 4C AD ,    High Card
6S 5S KH 7H AS JS 9H ,    High Card
3C 5H KC 9S AH 4S 3H ,    High Card
10H 2C 4H 4S 5S JC QD ,    Pair
AD 7D 5D 4C 9D 8S JD ,    High Card
8C QS 6H AH 2S 3S KH ,    High Card
QS 9S 7S 2C AH JH 3H ,    High Card
6S JS KD QD 5S QC 5D ,    High Card
9D 5H 4S JD KS 10C AD ,    High Card
AS 5C 4H 8C 9H 2D 2H ,    High Card
4S KC QS AD 4D 9H 6D ,    High Card
5C 10H 5S 9D JC 3C QC ,    Pair
AH 4C 3S AS 4H 2S 8C ,    High Card
JC 3S QC 7H 9S 10C 3C ,    High Card
KS AD 4S 6C 7S 3H 2H ,    High Card
AS QS 9D 9H JS 5H 10D ,    Pair
5C KC 7D 8H 5S 2C 9C ,    High Card
2C 2S 7C 4S KH 5D 4C ,    Pair
3C QC 7D AS 5H 3D JS ,    High Card
QH 9H 7H 6H 4D 10C 4H ,    Flush
2D 2H 4S 5S 7H 2S KC ,    Pair
JH 4C 9S 9D AC QC 5H ,    Pair
6S 8S 10C JS 2C 4D 7C ,    High Card
3S 5D QH QD 6H 3C 10S ,    Pair
10D JC QC KC AD 2S 3D ,    High Card
6H 4C AC 10C 7D QH 8S ,    High Card
KD 5D 5S 5C AH 6D KH ,    Pair
7S 6H 3D QS KC 2H QH ,    High Card
KH 3H 3S 4H 7H JD 10H ,    Pair
10S 9S 8D 9D 2S QC AD ,    High Card
6D QD 8C 5C 5H KD 2D ,    Pair
3C 7S KH 2D QS QC 8D ,    Pair
2S 6H JD 3S 6S 7H 10C ,    High Card
4S 5D 9C 8C KC 7C JS ,    High Card
QC QS 7S 4C 6S 10C 8H ,    Pair
JH 3S 9S 6D 5S 10C 8H ,    High Card
7S QS 5C 7H 6H KD 8C ,    High Card
2S KS AC 5D 7C JD 4D ,    High Card
8D 3H AD KC 10S QH AH ,    High Card
